Zeitstempel,Lernerfolg [Ich kann ein Buch zu einem Thema im Katalog plus der BLB finden und ausleihen.],Lernerfolg [Ich kann einen Artikel zu einem Thema im Katalog plus der BLB finden.],Lernerfolg [Ich finde mich im Gebäude der BLB zurecht.],"Lernerfolg [Was ich in dieser Schulung gelernt habe, ist für mich nützlich.]",Das fand ich für mich besonders wichtig! [Tipps zum Finden von Suchbegriffen mit dem Brockhaus],Das fand ich für mich besonders wichtig! [Finden von Büchern & Artikeln],Das fand ich für mich besonders wichtig! [Übungen zur Datenbank Statista],Das fand ich für mich besonders wichtig! [Rundgang durch die Bibliothek],Das fand ich für mich besonders wichtig! [Alles rund um Ausleihe und Benutzerkonto],Inhalte und Ablauf der Schulung [Der Ablauf der Schulung war für mich nachvollziehbar.],Inhalte und Ablauf der Schulung [Das selbständige Arbeiten mit Moodle hat mir gefallen.],Inhalte und Ablauf der Schulung [Die Aufgaben waren verständlich formuliert.],Inhalte und Ablauf der Schulung [Die Quizrunden haben mir gefallen.],Der Anspruch war für mich...,Die Dauer der Schulung war für mich...,Hier können Sie uns eine Note geben. ,Wollen Sie uns noch etwas mitteilen? ,Das fand ich für mich besonders wichtig! [Informationen zur Datenbank Statista]
10.01.2023 11:02:55,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,6,,1 (trifft voll und ganz zu)
10.01.2023 11:03:21,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
10.01.2023 11:03:59,2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),3,2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
10.01.2023 11:04:19,2,2,2,3,2,2,,2,2,2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,zu lang,2,,3
10.01.2023 11:04:31,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,Nettes Personal!,1 (trifft voll und ganz zu)
10.01.2023 11:04:32,2,1 (trifft voll und ganz zu),3,2,3,2,,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,2,,2
10.01.2023 11:04:34,1 (trifft voll und ganz zu),2,3,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,zu leicht,gerade richtig,2,,1 (trifft voll und ganz zu)
10.01.2023 11:04:49,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,schön vorbereitet,1 (trifft voll und ganz zu)
10.01.2023 11:04:51,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,2,2,2,,3,3,2,,2,1 (trifft voll und ganz zu),zu leicht,gerade richtig,2,,3
10.01.2023 11:04:53,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,4 (trifft überhaupt nicht zu),2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,3,3,gerade richtig,gerade richtig,2,Die Praktikantin war nett und die andere Frau war hübsch :),2
